index,p5,p4,majority5,majority4,agreement,bias5,bias4,bootstrap_stability5,bootstrap_stability4,confidence_interval5,confidence_interval4
40,0.336,0.684,0,1,False,0.16399999999999998,0.18400000000000005,1.0,1.0,"[0.30740158982270954, 0.36585358696055253]","[0.6545273749814833, 0.7120643778958327]"
41,0.897,0.841,1,1,True,0.397,0.34099999999999997,1.0,1.0,"[0.8766163637675564, 0.9143451899949129]","[0.8170364534597756, 0.8623536972530759]"
42,0.282,0.284,0,0,True,0.21800000000000003,0.21600000000000003,1.0,1.0,"[0.25498602521354063, 0.3106824414861613]","[0.2569190250903582, 0.3127341345754016]"
43,0.113,0.059,0,0,True,0.387,0.441,1.0,1.0,"[0.09484035831643467, 0.13412155275138501]","[0.04601429821280047, 0.07536090277145915]"
44,0.327,0.711,0,1,False,0.173,0.21099999999999997,1.0,1.0,"[0.2986345103891364, 0.35668954804686565]","[0.6821395598954265, 0.7382455480236692]"
45,0.074,0.217,0,0,True,0.426,0.28300000000000003,1.0,1.0,"[0.05935499258410698, 0.09190540564558597]","[0.19256080207751963, 0.24360514322530458]"
46,0.19,0.696,0,1,False,0.31,0.19599999999999995,1.0,1.0,"[0.1668892700644027, 0.2154833201966415]","[0.6667851800100445, 0.7237147306636179]"
47,0.759,0.404,1,0,False,0.259,0.09599999999999997,1.0,1.0,"[0.7315330470912914, 0.784484692013191]","[0.3740102086208163, 0.43472452900841035]"
48,0.998,0.488,1,0,False,0.498,0.01200000000000001,1.0,0.791,"[0.9927371921365079, 0.9994513564118793]","[0.4571243966097442, 0.5189674455939091]"
49,0.387,0.54,0,1,False,0.11299999999999999,0.040000000000000036,1.0,0.9925,"[0.35729917409070144, 0.417565673327034]","[0.5090152862022621, 0.5706785731188935]"
50,0.585,0.614,1,1,True,0.08499999999999996,0.11399999999999999,1.0,1.0,"[0.5541928113038582, 0.6151566397535974]","[0.5834448620601524, 0.643682637005141]"
51,0.032,0.99,0,1,False,0.46799999999999997,0.49,1.0,1.0,"[0.022757107858710962, 0.04482473808376865]","[0.9816905311296853, 0.9945592455544707]"
52,0.746,0.904,1,1,True,0.246,0.404,1.0,1.0,"[0.7181143099237187, 0.7720029249013881]","[0.8841648792420682, 0.9207430999016033]"
53,0.592,0.653,1,1,True,0.09199999999999997,0.15300000000000002,1.0,1.0,"[0.5612435983142355, 0.6220522781244223]","[0.6229619706570872, 0.681867041246333]"
54,0.248,0.422,0,0,True,0.252,0.07800000000000001,1.0,1.0,"[0.2222322443017442, 0.2756964419749756]","[0.3917453086472168, 0.4528516656765298]"
55,0.221,0.519,0,1,False,0.279,0.019000000000000017,1.0,0.876,"[0.1963781575648541, 0.2477571736700857]","[0.48801914625314236, 0.5498354369244066]"
56,0.653,0.649,1,1,True,0.15300000000000002,0.14900000000000002,1.0,1.0,"[0.6229619706570872, 0.681867041246333]","[0.6188992039590456, 0.6779604220122589]"
57,0.955,0.893,1,1,True,0.45499999999999996,0.393,1.0,1.0,"[0.9403171620637766, 0.9662004877143683]","[0.8723150421383737, 0.91067712569198]"
58,0.141,0.742,0,1,False,0.359,0.242,1.0,1.0,"[0.12080112670494819, 0.1639464858876804]","[0.7139918832868724, 0.768155965606119]"
59,0.586,0.263,1,0,False,0.08599999999999997,0.237,1.0,1.0,"[0.5551996791811112, 0.6161421183593733]","[0.23665685979107837, 0.2911570237310747]"
60,0.445,0.332,0,0,True,0.05499999999999999,0.16799999999999998,1.0,1.0,"[0.41446705005753576, 0.4759538933758753]","[0.30350363489239063, 0.36178215595875596]"
61,0.69,0.703,1,1,True,0.18999999999999995,0.20299999999999996,1.0,1.0,"[0.6606534768407168, 0.7178923549347722]","[0.6739460359438715, 0.730500300110993]"
62,0.534,0.425,1,0,False,0.03400000000000003,0.07500000000000001,0.9845,1.0,"[0.5030108102327143, 0.5647289701902679]","[0.39470520710516793, 0.4558688066676653]"
63,0.541,0.415,1,0,False,0.041000000000000036,0.08500000000000002,0.9935,1.0,"[0.5100164673887266, 0.5716697384154579]","[0.3848433602464026, 0.4458071886961417]"
64,0.53,0.809,1,1,True,0.030000000000000027,0.30900000000000005,0.972,1.0,"[0.49901030909301675, 0.56076008539785]","[0.7834719955714221, 0.832163067684505]"
65,0.528,0.464,1,0,False,0.028000000000000025,0.035999999999999976,0.9565,0.99,"[0.4970108021953935, 0.5587748993294154]","[0.43328733184788387, 0.49498819476307615]"
66,0.422,0.484,0,0,True,0.07800000000000001,0.016000000000000014,1.0,0.85,"[0.3917453086472168, 0.4528516656765298]","[0.4531466082917357, 0.514975847979802]"
67,0.696,0.335,1,0,False,0.19599999999999995,0.16499999999999998,1.0,1.0,"[0.6667851800100445, 0.7237147306636179]","[0.30642688114062866, 0.3648359491596046]"
68,0.439,0.562,0,1,False,0.061,0.062000000000000055,1.0,1.0,"[0.4085331921433528, 0.4699336723918849]","[0.5310701383860444, 0.5924553435617469]"
69,0.156,0.212,0,0,True,0.344,0.28800000000000003,1.0,1.0,"[0.13483131538945653, 0.17980149444860544]","[0.1877940523073313, 0.2384101605803485]"
70,0.42,0.224,0,0,True,0.08000000000000002,0.276,1.0,1.0,"[0.3897726821587803, 0.4508395991989084]","[0.1992434366609871, 0.2508689340230394]"
71,0.802,0.797,1,1,True,0.30200000000000005,0.29700000000000004,1.0,1.0,"[0.776166200305855, 0.8255224375688698]","[0.7709550842197117, 0.8207718212398687]"
72,0.585,0.892,1,1,True,0.08499999999999996,0.392,1.0,1.0,"[0.5541928113038582, 0.6151566397535974]","[0.8712410199098767, 0.9097588014374481]"
73,0.591,0.606,1,1,True,0.09099999999999997,0.10599999999999998,1.0,1.0,"[0.560235954911328, 0.6210675750443009]","[0.5753643006840624, 0.6358244265169998]"
74,0.738,0.7,1,1,True,0.238,0.19999999999999996,1.0,1.0,"[0.7098723945402419, 0.764306068420634]","[0.6708761390827828, 0.7275931575229951]"
75,0.285,0.833,0,1,False,0.21500000000000002,0.33299999999999996,1.0,1.0,"[0.25788577698507104, 0.3137597291637176]","[0.8086179403533302, 0.85483343849529]"
76,0.305,0.482,0,0,True,0.195,0.018000000000000016,1.0,0.8825,"[0.2772552724809733, 0.3342371633283932]","[0.4511584546689284, 0.5129793086365515]"
77,0.652,0.569,1,1,True,0.15200000000000002,0.06899999999999995,1.0,1.0,"[0.6219460655735375, 0.6808905998468539]","[0.5381003510964657, 0.5993715562325277]"
78,0.511,0.59,1,1,True,0.01100000000000001,0.08999999999999997,0.749,1.0,"[0.4800349634365892, 0.5418808478767286]","[0.5592284411186709, 0.6200827423539291]"
79,0.434,0.825,0,1,False,0.066,0.32499999999999996,1.0,1.0,"[0.40359177593584417, 0.4649133561842491]","[0.800218354614785, 0.8472942523696041]"
80,0.501,0.33,1,0,False,0.0010000000000000009,0.16999999999999998,0.51,1.0,"[0.47006583523375295, 0.5319265112492759]","[0.3015555405204304, 0.35974555736465835]"
